model,accuracy,sah_auroc,cscore
qwen2.5:7b,0.432099,0.542857,0.481187
llama3.1:8b,0.432099,0.497516,0.462505
gemma4:e4b,0.296296,0.487573,0.368597
mistral:7b,0.000000,0.500000,0.000000
phi3.5-mini,0.000000,0.500000,0.000000
