model,accuracy,sah_auroc,cscore
qwen2.5:7b,0.432099,0.603106,0.503478
llama3.1:8b,0.432099,0.550000,0.483972
gemma4:e4b,0.296296,0.579313,0.392066
mistral:7b,0.000000,0.500000,0.000000
phi3.5-mini,0.000000,0.500000,0.000000
