model,accuracy,sah_auroc,cscore
llama3.1:8b,0.432099,1.000000,0.603448
qwen2.5:7b,0.432099,1.000000,0.603448
gemma4:e4b,0.296296,1.000000,0.457143
mistral:7b,0.000000,0.500000,0.000000
phi3.5-mini,0.000000,0.500000,0.000000
